WO ,Quote,PO Number,Status,Customer Name,Model Description,Scheduled Date,Actual Delivery Date,Price,,Status,Status Description
2164-01,,54,Completed,Remorques Mond,"End Dump 4 axle, Steel Frame, Steer axle",2025-03-12,2025-03-12,"$130,000.00",,Open,"Open, but not started"
2164-02,,54,Completed,Remorques Mond,"End Dump 4 axle, Steel Frame, Steer axle",2025-04-30,2025-04-30,"$130,000.00",,In Progress,Started
2164-03,,54,Completed,Remorques Mond,"End Dump 4 axle, Steel Frame, Steer axle",2025-05-01,2025-05-01,"$130,000.00",,Completed,Completed
2173-01,,821000320,Completed,Trans East Trailers Moncton,"End Dump 3 axle, Steel Frame, No Steer axle",2025-05-30,2025-06-20,"$100,000.00",,Flag,Waiting for some information
2173-02,,821000320,Completed,Trans East Trailers Moncton,"End Dump 3 axle, Steel Frame, No Steer axle",2025-05-30,2025-06-20,"$100,000.00",,,
2172-01,2025-RMD-007,69,Completed,Remorques Mond,"End Dump 4 axle, Steel Frame, Steer axle",2025-06-27,2025-06-27,"$130,000.00",,,
2191-01,2025-FMI-002,JC-050124,Completed,Fleet Maintenance Inc,Frameless 3 axle,2025-07-01,2025-07-17,"$112,000.00",,,
2179-01,2025-RMD-006,88,Completed,Remorques Mond,"End Dump 4 axle, Steel Frame, Steer axle",2025-07-08,2025-07-25,"$137,000.00",,,
2199-01,2025-TET-015,811000132,Completed,Trans East Trailers Ontario,"End Dump 4 axle, Aluminum Frame, Steer axle",2025-07-15,2025-07-31,"$141,000.00",,,
2206-01,2025-TET-023,821000350,Completed,Trans East Trailers Moncton,"End Dump 3 Axle, Aluminum Frame",2025-07-31,2025-08-13,"$100,000.00",,,
2198-01,2025-TET-001,821000341,Completed,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 3 GD",2025-08-05,2025-08-18,"$148,000.00",,,
2190-01,2025-RMD-005,88,Completed,Remorques Mond,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 3 GD",2025-08-12,2025-08-26,"$140,000.00",,,
2200-01,2025-TET-016,811000132,Completed,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle",2025-08-15,2025-08-30,"$112,500.00",,,
2211-01,2025-TET-022,821000350,Completed,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 3 GD",2025-09-05,2025-09-12,"$143,000.00",,,
2201-01,2025-TET-017,811000132,Completed,Trans East Trailers Ontario,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 3 GD",2025-09-12,2025-09-25,"$144,000.00",,,
2212-01,2025-RMD-011,134,Completed,Remorques Mond,"ED Polished Alum CH. 3X, 72"" Wall, 37' Length, 1 GD",2025-09-19,2025-09-25,"$117,000.00",,,
2214-01,2025-TET-004,821000353,Completed,Trans East Trailers Moncton,"ED Alum CH. 3X, 67.5"" With Board,37', 1 GD",2025-09-26,2025-09-30,"$106,500.00",,,
2190-02,2025-RMD-005,88,Completed,Remorques Mond,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 3 GD",2025-10-03,2025-10-06,"$140,000.00",,,
2213-01,2025-TET-003,821000353,Completed,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 37', 1 GD",2025-10-10,2025-10-13,"$108,500.00",,,
2208-01,2025-TET-021,821000347,Completed,Trans East Trailers Moncton,"ED Steel CH. 3X, 67.5"" With Board,37', 2 Lift axles(2AAL+lift).",2025-10-17,2025-10-22,"$108,500.00",,,
2223-01,2025-TET-033,811000142,Completed,Trans East Trailers Ontario,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 3 GD",2025-10-24,2025-10-29,"$146,060.00",,,
2224-01,2025-RMD-036,,Completed,Remorques Mond,"ED Polished Alum CH. 3X, 72"" Wall, 37' Length, 1 GD",2025-10-28,2025-10-31,"$117,000.00",,,
2219-01,2025-TET-030,821000355,Completed,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 3 Grain Door",2025-10-31,2025-11-06,"$144,000.00",,,
2190-03,2025-RMD-005,88,Completed,Remorques Mond,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 1 GD",2025-11-07,2025-11-18,"$140,000.00",,,
2220-01,2025-TET-030,821000355,Completed,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 3 Grain Door",2025-11-14,2025-11-21,"$144,500.00",,,
2190-04,2025-RMD-005,88,Completed,Remorques Mond,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 1 GD",2025-11-21,2025-11-26,"$140,000.00",,,
2221-01,2025-TET-030,821000355,Completed,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 1 Grain Door",2025-11-28,2025-12-04,"$144,000.00",,,
2190-05,2025-RMD-005,88,Completed,Remorques Mond,"ED Polished Alum CH. 4X, 72"" Wall, 45' Length, 1 GD",2025-12-05,2025-12-10,"$140,000.00",,,
2222-01,2025-TET-031,821000355,Completed,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 37', 1 GD",2025-12-12,2025-12-17,"$108,500.00",,,
2233-01,2026-TET-002_Old,811000153,In Progress,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2025-12-19,,"$114,000.00",,,
2234-01,2026-TET-002_Old,811000153,In Progress,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2025-12-30,,"$114,000.00",,,
2179-02,2025-RMD-006,88,Open,Remorques Mond,"ED Steel CH. 4X, 72"" Wall, 45' Length, 1 GD",2026-01-09,,"$137,000.00",,,
2240-01,2026-TET-007,811000153,Open,Trans East Trailers Ontario,"ED Alum CH. 4X, 74"" Wall, 45' Length, 3 GD",2026-01-16,,"$143,500.00",,,
2245-01,2026-TET-012,No PO,Open,Trans East Trailers Ontario,"ED Alum CH. 3X, 72"" Wall, 37', 1 GD",2026-01-19,,"$109,000.00",,,
2228-01,2025-TET-032,821000364,Open,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 40', No GD, No Mandoor",2026-01-23,,"$112,695.00",,,
2228-02,2025-TET-032,821000364,Open,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 40', No GD, No Mandoor",2026-01-30,,"$112,695.00",,,
2235-01,2026-TET-002,811000153,Open,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2026-02-06,,"$114,000.00",,,
2236-01,2026-TET-002,811000153,Open,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2026-02-13,,"$114,000.00",,,
2248-01,2026-TET-004,821000382,Open,Trans East Trailers Moncton,"ED Alum CH. 4X, 74"" Wall, 45' Length, 1 Grain Door",2026-02-20,,"$144,500.00",,,
2247-01,2026-TET-003,821000382,Open,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 37', 1 GD",2026-02-23,,"$109,000.00",,,
2237-01,2026-TET-002,811000153,Open,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2026-02-27,,"$114,000.00",,,
2238-01,2026-TET-002,811000153,Open,Trans East Trailers Ontario,"End Dump 3 axle, Aluminum Frame, Steer axle, No GD",2026-03-06,,"$114,000.00",,,
2239-01,2026-TET-001,No PO,Open,Trans East Trailers Ontario,"ED Alum CH. 4X, 72"" Wall, 45' Length, 3 GD",2026-03-09,,,,,
2249-01,2026-TET-005,821000382,Open,Trans East Trailers Moncton,"ED Steel CH. 3X, 67.5"" With Board,37', 2 Lift axles(2AAL+lift).",2026-03-23,,"$110,875.00",,,
2246-01,2026-TET-011,821000379,Open,Trans East Trailers Moncton,"ED Alum CH. 3X, 72"" Wall, 40', No GD, No Mandoor",April,,"$115,685.00",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
45,,,,,,,,"$5,254,450.00",,,
